Institution,Grants
University of Berne (UNIBE),95
University of Basel (UNIBA),95
Ecole Politechnique Fédérale de Lausanne (EPFL),53
Eidgenössische Technische Hochschule Zürich (ETHZ),91
Universitiy of Fribourg (UNIFR),43
University of Geneva (UNIGE),99
Hochschule der Künste Bern / Bern Academy of the Arts  (HKB - BFH),3
Geneva Graduate Institute / Institut de hautes études internationales et du développement (IHEID),5
University of Lausanne (UNIL),66
University of Lucerne (UNILU),10
Universitiy of Neuchâtel (UNINE),22
Schola Cantorum Basiliensis / Basel Academy of Music FHNW,1
University of St. Gallen (HSG),6
Università della Svizzera italiana (USI),2
University of Zürich (UZH),138
Zürcher Hochschule der Künste / Zurich University of the Arts (ZHdK),1
